PAW protein_summary_9 results file
written: Sun Apr  7 21:52:34 2019

 	=subtotal(109,B6:B10653)	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	x
10.0	1	CONT_021|CASB_BOVIN	contaminant	14.7	224	25107	BETA CASEIN PRECURSOR [Bos taurus].	16	16	1.000	4	8	4	4	8	4	4.000	8.000	4.000	 
11.0	1	CONT_044|gi|1083132|pir||A56694	contaminant	7.9	480	53033	keratin, type II, KRT2.13 [Ovis aries].	68	1	0.015	24	25	19	0	1	0	0.000	3.515	0.250	CONT_044|gi|1083132|pir||A56694, CONT_073|gi|87303|pir||JS0487, CONT_079|gi|125105|sp|P13647|K2C5_HUMAN, CONT_109|gi|125116|sp|P15241|K2M2_SHEEP, CONT_129|gi|1346344|sp|P02538|K2CA_HUMAN, CONT_133|gi|1346349|sp|P48669|K2CF_HUMAN, CONT_142|gi|88053|pir||A29666, CONT_154|gi|1181996, CONT_173|gi|1903218|gnl|PID|e255345, CONT_176|gi|2119206|pir||S34165, sp|O95678|K2C75_HUMAN, sp|P08670|VIME_HUMAN, sp|P14136|GFAP_HUMAN, sp|Q01546|K22O_HUMAN, sp|Q5XKE5|K2C79_HUMAN, sp|Q8N1N4|K2C78_HUMAN, sp|Q9NSB2|KRT84_HUMAN
12.0	1	CONT_060|gi|542923|pir||S37780	contaminant	11.1	424	48571	keratin 20, cytoskeletal [Homo sapiens].	12	1	0.083	3	2	7	0	0	1	0.000	0.000	2.439	CONT_060|gi|542923|pir||S37780, CONT_074|gi|1070608|pir||KRHU9, CONT_094|gi|547751|sp|Q04695|K1CQ_HUMAN, CONT_101|gi|125081|sp|P19012|K1CO_HUMAN, CONT_108|gi|125090|sp|P02534|K1M1_SHEEP, CONT_168|gi|1708589|sp|P30654|K1CP_HUMAN, sp|P02533|K1C14_HUMAN, sp|P08779|K1C16_HUMAN, sp|P13646|K1C13_HUMAN, sp|Q9C075|K1C23_HUMAN
12.01	1	CONT_095|gi|547750|sp|P35900|K1CT_HUMAN	redundant	11.1	424	48486	KERATIN, TYPE I CYTOSKELETAL 20 (CYTOKERATIN 20) (K20) (CK 20) [Homo sapiens].	12	1	0.083	3	2	7	0	0	1	0.000	0.000	2.439	CONT_060|gi|542923|pir||S37780, CONT_074|gi|1070608|pir||KRHU9, CONT_094|gi|547751|sp|Q04695|K1CQ_HUMAN, CONT_101|gi|125081|sp|P19012|K1CO_HUMAN, CONT_108|gi|125090|sp|P02534|K1M1_SHEEP, CONT_168|gi|1708589|sp|P30654|K1CP_HUMAN, sp|P02533|K1C14_HUMAN, sp|P08779|K1C16_HUMAN, sp|P13646|K1C13_HUMAN, sp|Q9C075|K1C23_HUMAN
12.02	1	sp|P35900|K1C20_HUMAN	redundant	11.1	424	48486	Keratin, type I cytoskeletal 20 OS=Homo sapiens OX=9606 GN=KRT20 PE=1 SV=1	12	1	0.083	3	2	7	0	0	1	0.000	0.000	2.439	CONT_060|gi|542923|pir||S37780, CONT_074|gi|1070608|pir||KRHU9, CONT_094|gi|547751|sp|Q04695|K1CQ_HUMAN, CONT_101|gi|125081|sp|P19012|K1CO_HUMAN, CONT_108|gi|125090|sp|P02534|K1M1_SHEEP, CONT_168|gi|1708589|sp|P30654|K1CP_HUMAN, sp|P02533|K1C14_HUMAN, sp|P08779|K1C16_HUMAN, sp|P13646|K1C13_HUMAN, sp|Q9C075|K1C23_HUMAN
13.0	1	CONT_064|gi|254622|bbs|112352	contaminant	54.4	645	65911	(S43646) cytokeratin 2, CK 2 [human, epidermis, Peptide, 645 aa].	371	199	0.536	97	138	136	50	71	78	75.340	109.965	110.518	CONT_064|gi|254622|bbs|112352, CONT_073|gi|87303|pir||JS0487, CONT_079|gi|125105|sp|P13647|K2C5_HUMAN, CONT_102|gi|88044|pir||S01068, CONT_129|gi|1346344|sp|P02538|K2CA_HUMAN, CONT_133|gi|1346349|sp|P48669|K2CF_HUMAN, CONT_142|gi|88053|pir||A29666, sp|O95678|K2C75_HUMAN, sp|P04264|K2C1_HUMAN, sp|P12036|NFH_HUMAN, sp|Q01546|K22O_HUMAN, sp|Q14CN4|K2C72_HUMAN, sp|Q3SY84|K2C71_HUMAN, sp|Q5XKE5|K2C79_HUMAN, sp|Q7RTS7|K2C74_HUMAN, sp|Q7Z794|K2C1B_HUMAN, sp|Q86Y46|K2C73_HUMAN, sp|Q8N1N4|K2C78_HUMAN, sp|Q9NSB2|KRT84_HUMAN
13.01	1	CONT_072|gi|547754|sp|P35908|K22E_HUMAN	redundant	54.4	645	65865	KERATIN, TYPE II CYTOSKELETAL 2 EPIDERMAL (CYTOKERATIN 2E) (K2E) (CK 2E) [Homo sapiens].	371	199	0.536	97	138	136	50	71	78	75.340	109.965	110.518	CONT_064|gi|254622|bbs|112352, CONT_073|gi|87303|pir||JS0487, CONT_079|gi|125105|sp|P13647|K2C5_HUMAN, CONT_102|gi|88044|pir||S01068, CONT_129|gi|1346344|sp|P02538|K2CA_HUMAN, CONT_133|gi|1346349|sp|P48669|K2CF_HUMAN, CONT_142|gi|88053|pir||A29666, sp|O95678|K2C75_HUMAN, sp|P04264|K2C1_HUMAN, sp|P12036|NFH_HUMAN, sp|Q01546|K22O_HUMAN, sp|Q14CN4|K2C72_HUMAN, sp|Q3SY84|K2C71_HUMAN, sp|Q5XKE5|K2C79_HUMAN, sp|Q7RTS7|K2C74_HUMAN, sp|Q7Z794|K2C1B_HUMAN, sp|Q86Y46|K2C73_HUMAN, sp|Q8N1N4|K2C78_HUMAN, sp|Q9NSB2|KRT84_HUMAN
13.02	1	sp|P35908|K22E_HUMAN	redundant	54.9	639	65432	Keratin, type II cytoskeletal 2 epidermal OS=Homo sapiens OX=9606 GN=KRT2 PE=1 SV=2	371	199	0.536	97	138	136	50	71	78	75.340	109.965	110.518	CONT_064|gi|254622|bbs|112352, CONT_073|gi|87303|pir||JS0487, CONT_079|gi|125105|sp|P13647|K2C5_HUMAN, CONT_102|gi|88044|pir||S01068, CONT_129|gi|1346344|sp|P02538|K2CA_HUMAN, CONT_133|gi|1346349|sp|P48669|K2CF_HUMAN, CONT_142|gi|88053|pir||A29666, sp|O95678|K2C75_HUMAN, sp|P04264|K2C1_HUMAN, sp|P12036|NFH_HUMAN, sp|Q01546|K22O_HUMAN, sp|Q14CN4|K2C72_HUMAN, sp|Q3SY84|K2C71_HUMAN, sp|Q5XKE5|K2C79_HUMAN, sp|Q7RTS7|K2C74_HUMAN, sp|Q7Z794|K2C1B_HUMAN, sp|Q86Y46|K2C73_HUMAN, sp|Q8N1N4|K2C78_HUMAN, sp|Q9NSB2|KRT84_HUMAN
14.0	1	CONT_068|gi|1082558|pir||S41161	contaminant	60.8	623	62129	keratin 9, cytoskeletal [Homo sapiens].	302	281	0.930	84	111	107	80	102	99	81.882	106.230	102.616	CONT_068|gi|1082558|pir||S41161, CONT_074|gi|1070608|pir||KRHU9, CONT_092|gi|71528|pir||KRHU0, CONT_094|gi|547751|sp|Q04695|K1CQ_HUMAN, CONT_101|gi|125081|sp|P19012|K1CO_HUMAN, CONT_168|gi|1708589|sp|P30654|K1CP_HUMAN, sp|P02533|K1C14_HUMAN, sp|P08779|K1C16_HUMAN
14.01	1	sp|P35527|K1C9_HUMAN	redundant	60.8	623	62064	Keratin, type I cytoskeletal 9 OS=Homo sapiens OX=9606 GN=KRT9 PE=1 SV=3	302	281	0.930	84	111	107	80	102	99	81.882	106.230	102.616	CONT_068|gi|1082558|pir||S41161, CONT_074|gi|1070608|pir||KRHU9, CONT_092|gi|71528|pir||KRHU0, CONT_094|gi|547751|sp|Q04695|K1CQ_HUMAN, CONT_101|gi|125081|sp|P19012|K1CO_HUMAN, CONT_168|gi|1708589|sp|P30654|K1CP_HUMAN, sp|P02533|K1C14_HUMAN, sp|P08779|K1C16_HUMAN
15.0	1	CONT_073|gi|87303|pir||JS0487	contaminant	20.3	482	53561	cytokeratin 8 (version 1) [Homo sapiens].	265	4	0.015	92	90	83	4	0	0	5.714	0.000	0.000	CONT_044|gi|1083132|pir||A56694, CONT_064|gi|254622|bbs|112352, CONT_073|gi|87303|pir||JS0487, CONT_079|gi|125105|sp|P13647|K2C5_HUMAN, CONT_102|gi|88044|pir||S01068, CONT_109|gi|125116|sp|P15241|K2M2_SHEEP, CONT_129|gi|1346344|sp|P02538|K2CA_HUMAN, CONT_133|gi|1346349|sp|P48669|K2CF_HUMAN, CONT_142|gi|88053|pir||A29666, CONT_154|gi|1181996, CONT_173|gi|1903218|gnl|PID|e255345, sp|O95678|K2C75_HUMAN, sp|P04264|K2C1_HUMAN, sp|P08670|VIME_HUMAN, sp|P14136|GFAP_HUMAN, sp|P17661|DESM_HUMAN, sp|P41219|PERI_HUMAN, sp|Q01546|K22O_HUMAN, sp|Q14CN4|K2C72_HUMAN, sp|Q3SY84|K2C71_HUMAN, sp|Q5XKE5|K2C79_HUMAN, sp|Q6KB66|K2C80_HUMAN, sp|Q7RTS7|K2C74_HUMAN, sp|Q7Z794|K2C1B_HUMAN, sp|Q86Y46|K2C73_HUMAN, sp|Q8N1N4|K2C78_HUMAN, sp|Q9NSB2|KRT84_HUMAN
15.01	1	CONT_103|gi|2119212|pir||I37982	redundant	20.3	483	53704	Keratin 8 - human [Homo sapiens].	265	4	0.015	92	90	83	4	0	0	5.714	0.000	0.000	CONT_044|gi|1083132|pir||A56694, CONT_064|gi|254622|bbs|112352, CONT_073|gi|87303|pir||JS0487, CONT_079|gi|125105|sp|P13647|K2C5_HUMAN, CONT_102|gi|88044|pir||S01068, CONT_109|gi|125116|sp|P15241|K2M2_SHEEP, CONT_129|gi|1346344|sp|P02538|K2CA_HUMAN, CONT_133|gi|1346349|sp|P48669|K2CF_HUMAN, CONT_142|gi|88053|pir||A29666, CONT_154|gi|1181996, CONT_173|gi|1903218|gnl|PID|e255345, sp|O95678|K2C75_HUMAN, sp|P04264|K2C1_HUMAN, sp|P08670|VIME_HUMAN, sp|P14136|GFAP_HUMAN, sp|P17661|DESM_HUMAN, sp|P41219|PERI_HUMAN, sp|Q01546|K22O_HUMAN, sp|Q14CN4|K2C72_HUMAN, sp|Q3SY84|K2C71_HUMAN, sp|Q5XKE5|K2C79_HUMAN, sp|Q6KB66|K2C80_HUMAN, sp|Q7RTS7|K2C74_HUMAN, sp|Q7Z794|K2C1B_HUMAN, sp|Q86Y46|K2C73_HUMAN, sp|Q8N1N4|K2C78_HUMAN, sp|Q9NSB2|KRT84_HUMAN
15.02	1	CONT_124|gi|105815|pir||A34720	redundant	20.3	483	53748	cytokeratin 8 (version 2) [Homo sapiens].	265	4	0.015	92	90	83	4	0	0	5.714	0.000	0.000	CONT_044|gi|1083132|pir||A56694, CONT_064|gi|254622|bbs|112352, CONT_073|gi|87303|pir||JS0487, CONT_079|gi|125105|sp|P13647|K2C5_HUMAN, CONT_102|gi|88044|pir||S01068, CONT_109|gi|125116|sp|P15241|K2M2_SHEEP, CONT_129|gi|1346344|sp|P02538|K2CA_HUMAN, CONT_133|gi|1346349|sp|P48669|K2CF_HUMAN, CONT_142|gi|88053|pir||A29666, CONT_154|gi|1181996, CONT_173|gi|1903218|gnl|PID|e255345, sp|O95678|K2C75_HUMAN, sp|P04264|K2C1_HUMAN, sp|P08670|VIME_HUMAN, sp|P14136|GFAP_HUMAN, sp|P17661|DESM_HUMAN, sp|P41219|PERI_HUMAN, sp|Q01546|K22O_HUMAN, sp|Q14CN4|K2C72_HUMAN, sp|Q3SY84|K2C71_HUMAN, sp|Q5XKE5|K2C79_HUMAN, sp|Q6KB66|K2C80_HUMAN, sp|Q7RTS7|K2C74_HUMAN, sp|Q7Z794|K2C1B_HUMAN, sp|Q86Y46|K2C73_HUMAN, sp|Q8N1N4|K2C78_HUMAN, sp|Q9NSB2|KRT84_HUMAN
15.03	1	CONT_179|gi|2506774|sp|P05787|K2C8_HUMAN	redundant	20.3	483	53674	KERATIN, TYPE II CYTOSKELETAL 8 (CYTOKERATIN 8) (K8) (CK 8) [Homo sapiens].	265	4	0.015	92	90	83	4	0	0	5.714	0.000	0.000	CONT_044|gi|1083132|pir||A56694, CONT_064|gi|254622|bbs|112352, CONT_073|gi|87303|pir||JS0487, CONT_079|gi|125105|sp|P13647|K2C5_HUMAN, CONT_102|gi|88044|pir||S01068, CONT_109|gi|125116|sp|P15241|K2M2_SHEEP, CONT_129|gi|1346344|sp|P02538|K2CA_HUMAN, CONT_133|gi|1346349|sp|P48669|K2CF_HUMAN, CONT_142|gi|88053|pir||A29666, CONT_154|gi|1181996, CONT_173|gi|1903218|gnl|PID|e255345, sp|O95678|K2C75_HUMAN, sp|P04264|K2C1_HUMAN, sp|P08670|VIME_HUMAN, sp|P14136|GFAP_HUMAN, sp|P17661|DESM_HUMAN, sp|P41219|PERI_HUMAN, sp|Q01546|K22O_HUMAN, sp|Q14CN4|K2C72_HUMAN, sp|Q3SY84|K2C71_HUMAN, sp|Q5XKE5|K2C79_HUMAN, sp|Q6KB66|K2C80_HUMAN, sp|Q7RTS7|K2C74_HUMAN, sp|Q7Z794|K2C1B_HUMAN, sp|Q86Y46|K2C73_HUMAN, sp|Q8N1N4|K2C78_HUMAN, sp|Q9NSB2|KRT84_HUMAN
15.04	1	sp|P05787|K2C8_HUMAN	redundant	20.3	483	53704	Keratin, type II cytoskeletal 8 OS=Homo sapiens OX=9606 GN=KRT8 PE=1 SV=7	265	4	0.015	92	90	83	4	0	0	5.714	0.000	0.000	CONT_044|gi|1083132|pir||A56694, CONT_064|gi|254622|bbs|112352, CONT_073|gi|87303|pir||JS0487, CONT_079|gi|125105|sp|P13647|K2C5_HUMAN, CONT_102|gi|88044|pir||S01068, CONT_109|gi|125116|sp|P15241|K2M2_SHEEP, CONT_129|gi|1346344|sp|P02538|K2CA_HUMAN, CONT_133|gi|1346349|sp|P48669|K2CF_HUMAN, CONT_142|gi|88053|pir||A29666, CONT_154|gi|1181996, CONT_173|gi|1903218|gnl|PID|e255345, sp|O95678|K2C75_HUMAN, sp|P04264|K2C1_HUMAN, sp|P08670|VIME_HUMAN, sp|P14136|GFAP_HUMAN, sp|P17661|DESM_HUMAN, sp|P41219|PERI_HUMAN, sp|Q01546|K22O_HUMAN, sp|Q14CN4|K2C72_HUMAN, sp|Q3SY84|K2C71_HUMAN, sp|Q5XKE5|K2C79_HUMAN, sp|Q6KB66|K2C80_HUMAN, sp|Q7RTS7|K2C74_HUMAN, sp|Q7Z794|K2C1B_HUMAN, sp|Q86Y46|K2C73_HUMAN, sp|Q8N1N4|K2C78_HUMAN, sp|Q9NSB2|KRT84_HUMAN
16.0	1	CONT_074|gi|1070608|pir||KRHU9	contaminant	14.8	400	44091	keratin 19, type I, cytoskeletal [Homo sapiens].	56	0	0.000	12	22	22	0	0	0	0.500	0.000	0.000	CONT_060|gi|542923|pir||S37780, CONT_068|gi|1082558|pir||S41161, CONT_074|gi|1070608|pir||KRHU9, CONT_076|gi|125083|sp|P05783|K1CR_HUMAN, CONT_092|gi|71528|pir||KRHU0, CONT_094|gi|547751|sp|Q04695|K1CQ_HUMAN, CONT_101|gi|125081|sp|P19012|K1CO_HUMAN, CONT_108|gi|125090|sp|P02534|K1M1_SHEEP, CONT_167|gi|1668744|gnl|PID|e195475, CONT_168|gi|1708589|sp|P30654|K1CP_HUMAN, sp|O76014|KRT37_HUMAN, sp|P02533|K1C14_HUMAN, sp|P08779|K1C16_HUMAN, sp|P13646|K1C13_HUMAN
16.01	1	CONT_099|gi|417200|sp|P08727|K1CS_HUMAN	redundant	14.8	400	44105	KERATIN, TYPE I CYTOSKELETAL 19 (CYTOKERATIN 19) (K19) (CK 19) [Homo sapiens].	56	0	0.000	12	22	22	0	0	0	0.500	0.000	0.000	CONT_060|gi|542923|pir||S37780, CONT_068|gi|1082558|pir||S41161, CONT_074|gi|1070608|pir||KRHU9, CONT_076|gi|125083|sp|P05783|K1CR_HUMAN, CONT_092|gi|71528|pir||KRHU0, CONT_094|gi|547751|sp|Q04695|K1CQ_HUMAN, CONT_101|gi|125081|sp|P19012|K1CO_HUMAN, CONT_108|gi|125090|sp|P02534|K1M1_SHEEP, CONT_167|gi|1668744|gnl|PID|e195475, CONT_168|gi|1708589|sp|P30654|K1CP_HUMAN, sp|O76014|KRT37_HUMAN, sp|P02533|K1C14_HUMAN, sp|P08779|K1C16_HUMAN, sp|P13646|K1C13_HUMAN
16.02	1	sp|P08727|K1C19_HUMAN	redundant	14.8	400	44105	Keratin, type I cytoskeletal 19 OS=Homo sapiens OX=9606 GN=KRT19 PE=1 SV=4	56	0	0.000	12	22	22	0	0	0	0.500	0.000	0.000	CONT_060|gi|542923|pir||S37780, CONT_068|gi|1082558|pir||S41161, CONT_074|gi|1070608|pir||KRHU9, CONT_076|gi|125083|sp|P05783|K1CR_HUMAN, CONT_092|gi|71528|pir||KRHU0, CONT_094|gi|547751|sp|Q04695|K1CQ_HUMAN, CONT_101|gi|125081|sp|P19012|K1CO_HUMAN, CONT_108|gi|125090|sp|P02534|K1M1_SHEEP, CONT_167|gi|1668744|gnl|PID|e195475, CONT_168|gi|1708589|sp|P30654|K1CP_HUMAN, sp|O76014|KRT37_HUMAN, sp|P02533|K1C14_HUMAN, sp|P08779|K1C16_HUMAN, sp|P13646|K1C13_HUMAN
17.0	1	CONT_076|gi|125083|sp|P05783|K1CR_HUMAN	contaminant	17.4	430	48057	KERATIN, TYPE I CYTOSKELETAL 18 (CYTOKERATIN 18) (K18) (CK 18) [Homo sapiens].	25	7	0.280	11	7	7	7	0	0	7.286	0.000	0.000	CONT_074|gi|1070608|pir||KRHU9, CONT_076|gi|125083|sp|P05783|K1CR_HUMAN, CONT_092|gi|71528|pir||KRHU0, CONT_094|gi|547751|sp|Q04695|K1CQ_HUMAN, CONT_101|gi|125081|sp|P19012|K1CO_HUMAN, CONT_108|gi|125090|sp|P02534|K1M1_SHEEP, CONT_167|gi|1668744|gnl|PID|e195475, CONT_168|gi|1708589|sp|P30654|K1CP_HUMAN, sp|O76014|KRT37_HUMAN, sp|P02533|K1C14_HUMAN, sp|P08779|K1C16_HUMAN, sp|P13646|K1C13_HUMAN
17.01	1	CONT_077|gi|106851|pir||S06889	redundant	17.7	424	47333	keratin 18, cytoskeletal (fragment) [Homo sapiens].	25	7	0.280	11	7	7	7	0	0	7.286	0.000	0.000	CONT_074|gi|1070608|pir||KRHU9, CONT_076|gi|125083|sp|P05783|K1CR_HUMAN, CONT_092|gi|71528|pir||KRHU0, CONT_094|gi|547751|sp|Q04695|K1CQ_HUMAN, CONT_101|gi|125081|sp|P19012|K1CO_HUMAN, CONT_108|gi|125090|sp|P02534|K1M1_SHEEP, CONT_167|gi|1668744|gnl|PID|e195475, CONT_168|gi|1708589|sp|P30654|K1CP_HUMAN, sp|O76014|KRT37_HUMAN, sp|P02533|K1C14_HUMAN, sp|P08779|K1C16_HUMAN, sp|P13646|K1C13_HUMAN
17.02	1	sp|P05783|K1C18_HUMAN	redundant	17.4	430	48057	Keratin, type I cytoskeletal 18 OS=Homo sapiens OX=9606 GN=KRT18 PE=1 SV=2	25	7	0.280	11	7	7	7	0	0	7.286	0.000	0.000	CONT_074|gi|1070608|pir||KRHU9, CONT_076|gi|125083|sp|P05783|K1CR_HUMAN, CONT_092|gi|71528|pir||KRHU0, CONT_094|gi|547751|sp|Q04695|K1CQ_HUMAN, CONT_101|gi|125081|sp|P19012|K1CO_HUMAN, CONT_108|gi|125090|sp|P02534|K1M1_SHEEP, CONT_167|gi|1668744|gnl|PID|e195475, CONT_168|gi|1708589|sp|P30654|K1CP_HUMAN, sp|O76014|KRT37_HUMAN, sp|P02533|K1C14_HUMAN, sp|P08779|K1C16_HUMAN, sp|P13646|K1C13_HUMAN
18.0	1	CONT_079|gi|125105|sp|P13647|K2C5_HUMAN	contaminant	42.2	590	62461	KERATIN, TYPE II CYTOSKELETAL 5 (CYTOKERATIN 5) (K5) (CK 5) (58 KD CYTOKERATIN) [Homo sapiens].	239	49	0.205	72	94	73	16	20	13	26.508	38.168	22.453	CONT_044|gi|1083132|pir||A56694, CONT_064|gi|254622|bbs|112352, CONT_073|gi|87303|pir||JS0487, CONT_079|gi|125105|sp|P13647|K2C5_HUMAN, CONT_102|gi|88044|pir||S01068, CONT_109|gi|125116|sp|P15241|K2M2_SHEEP, CONT_129|gi|1346344|sp|P02538|K2CA_HUMAN, CONT_133|gi|1346349|sp|P48669|K2CF_HUMAN, CONT_142|gi|88053|pir||A29666, CONT_154|gi|1181996, CONT_173|gi|1903218|gnl|PID|e255345, sp|O95678|K2C75_HUMAN, sp|P04264|K2C1_HUMAN, sp|P08670|VIME_HUMAN, sp|P12036|NFH_HUMAN, sp|P14136|GFAP_HUMAN, sp|Q01546|K22O_HUMAN, sp|Q14CN4|K2C72_HUMAN, sp|Q3SY84|K2C71_HUMAN, sp|Q5XKE5|K2C79_HUMAN, sp|Q7RTS7|K2C74_HUMAN, sp|Q7Z794|K2C1B_HUMAN, sp|Q86Y46|K2C73_HUMAN, sp|Q8N1N4|K2C78_HUMAN, sp|Q9NSB2|KRT84_HUMAN
18.01	1	sp|P13647|K2C5_HUMAN	redundant	42.2	590	62378	Keratin, type II cytoskeletal 5 OS=Homo sapiens OX=9606 GN=KRT5 PE=1 SV=3	239	49	0.205	72	94	73	16	20	13	26.508	38.168	22.453	CONT_044|gi|1083132|pir||A56694, CONT_064|gi|254622|bbs|112352, CONT_073|gi|87303|pir||JS0487, CONT_079|gi|125105|sp|P13647|K2C5_HUMAN, CONT_102|gi|88044|pir||S01068, CONT_109|gi|125116|sp|P15241|K2M2_SHEEP, CONT_129|gi|1346344|sp|P02538|K2CA_HUMAN, CONT_133|gi|1346349|sp|P48669|K2CF_HUMAN, CONT_142|gi|88053|pir||A29666, CONT_154|gi|1181996, CONT_173|gi|1903218|gnl|PID|e255345, sp|O95678|K2C75_HUMAN, sp|P04264|K2C1_HUMAN, sp|P08670|VIME_HUMAN, sp|P12036|NFH_HUMAN, sp|P14136|GFAP_HUMAN, sp|Q01546|K22O_HUMAN, sp|Q14CN4|K2C72_HUMAN, sp|Q3SY84|K2C71_HUMAN, sp|Q5XKE5|K2C79_HUMAN, sp|Q7RTS7|K2C74_HUMAN, sp|Q7Z794|K2C1B_HUMAN, sp|Q86Y46|K2C73_HUMAN, sp|Q8N1N4|K2C78_HUMAN, sp|Q9NSB2|KRT84_HUMAN
19.0	1	CONT_092|gi|71528|pir||KRHU0	contaminant	42.8	593	59527	keratin 10, type I, cytoskeletal (clone lambda-KH10-5) [Homo sapiens].	342	259	0.757	90	120	132	70	87	102	85.838	111.136	126.533	CONT_068|gi|1082558|pir||S41161, CONT_074|gi|1070608|pir||KRHU9, CONT_076|gi|125083|sp|P05783|K1CR_HUMAN, CONT_092|gi|71528|pir||KRHU0, CONT_094|gi|547751|sp|Q04695|K1CQ_HUMAN, CONT_101|gi|125081|sp|P19012|K1CO_HUMAN, CONT_108|gi|125090|sp|P02534|K1M1_SHEEP, CONT_167|gi|1668744|gnl|PID|e195475, CONT_168|gi|1708589|sp|P30654|K1CP_HUMAN, sp|O76014|KRT37_HUMAN, sp|P02533|K1C14_HUMAN, sp|P08779|K1C16_HUMAN, sp|P13646|K1C13_HUMAN
19.01	1	CONT_121|gi|547749|sp|P13645|K1CJ_HUMAN	redundant	42.8	593	59518	KERATIN, TYPE I CYTOSKELETAL 10 (CYTOKERATIN 10) (K10) (CK 10) [Homo sapiens].	342	259	0.757	90	120	132	70	87	102	85.838	111.136	126.533	CONT_068|gi|1082558|pir||S41161, CONT_074|gi|1070608|pir||KRHU9, CONT_076|gi|125083|sp|P05783|K1CR_HUMAN, CONT_092|gi|71528|pir||KRHU0, CONT_094|gi|547751|sp|Q04695|K1CQ_HUMAN, CONT_101|gi|125081|sp|P19012|K1CO_HUMAN, CONT_108|gi|125090|sp|P02534|K1M1_SHEEP, CONT_167|gi|1668744|gnl|PID|e195475, CONT_168|gi|1708589|sp|P30654|K1CP_HUMAN, sp|O76014|KRT37_HUMAN, sp|P02533|K1C14_HUMAN, sp|P08779|K1C16_HUMAN, sp|P13646|K1C13_HUMAN
